time,open,high,low,close,volume
1609040000000 ,645.94,646.68,643.38,645.81,23542.545
1609040000000 ,645.76,645.76,641.21,644,26251.445
1609040000000 ,644,645.61,642.68,644.04,19720.361
1609040000000 ,644.21,645.64,643.73,644.71,12655.674
1609040000000 ,644.7,645.99,644.11,645.95,12734.653
1609040000000 ,645.96,646.16,644.26,644.36,11470.1
1609040000000 ,644.35,644.43,642.49,644.29,19403.732
1609050000000 ,644.28,646.9,643.57,646.23,10844.529
1609050000000 ,646.23,648.14,645.59,646.88,14008.898
1609050000000 ,646.88,647.45,644.88,645.14,10234.731
1609050000000 ,645.15,647.95,645.15,646.47,16353.181
1609050000000 ,646.48,652.4,646.46,650,53301.514
1609050000000 ,649.99,651.45,647.15,651.04,33203.509
1609050000000 ,651.07,657.59,650.11,654.63,76544.668
1609050000000 ,654.59,655.39,651.13,652.55,34762
1609050000000 ,652.55,653.7,648.4,652.01,36909.282
1609050000000 ,652.01,653.64,651.3,652.61,15860.811
1609050000000 ,652.61,654.85,652.23,652.73,22966.878
1609060000000 ,652.74,652.99,650.21,650.94,21510.197
1609060000000 ,650.95,654.7,650.94,653.65,28451.265
1609060000000 ,653.55,654.94,647.01,648.36,49905.837
1609060000000 ,648.35,649.96,646.1,649.38,34730.087
1609060000000 ,649.38,653,642.2,644.61,57418.678
1609060000000 ,644.84,648.4,640.52,648.17,67767.701
1609060000000 ,648.17,649.04,646.34,647.79,19743.988
1609060000000 ,647.8,648.24,642.5,645.58,28934.471
1609060000000 ,645.58,649.48,645.13,647.83,21464.249
1609060000000 ,647.81,648.5,646.24,647.44,17236.884
1609060000000 ,647.44,647.44,644.03,645.38,16179.105
1609070000000 ,645.38,646.93,644.24,644.58,15556.56
1609070000000 ,644.56,647.5,643.5,647.01,15628.439
1609070000000 ,647,651.41,645.85,648.96,50142.667
1609070000000 ,648.85,648.93,646,646.51,34282.829
1609070000000 ,646.54,647.73,625,632.93,213648.772
1609070000000 ,632.92,639.12,631.95,639,70663.405
1609070000000 ,639,639.1,627,633.54,121043.299
1609070000000 ,633.59,636.09,628.66,631.97,74443.163
1609070000000 ,631.97,636.69,630.1,635.17,42461.785
1609070000000 ,635.17,637.8,634.39,635.05,29878.652
1609070000000 ,635.05,637.69,633.31,636.71,30089.643
1609070000000 ,636.72,638.35,635.01,635.45,24233.225
1609080000000 ,635.46,640.88,633.86,639.96,33748.492
1609080000000 ,639.96,649.43,639.45,649.1,69826.643
1609080000000 ,649.26,667.8,647.33,665.13,250731.908
1609080000000 ,665.15,679.1,661.7,674.4,213241.127
1609080000000 ,674.4,688,674.1,685.05,245941.11
1609080000000 ,685.05,691,678.31,686.43,228039.753
1609080000000 ,686.52,698.78,686.48,693.88,221796.621
1609080000000 ,693.87,700,680.88,686.08,226680.659
1609080000000 ,686.08,697,686,694.84,116047.125
1609080000000 ,694.83,701.19,693,699.83,98642.437
1609080000000 ,699.89,718.75,698.05,714.99,341151.946
1609090000000 ,715,715,691,704.44,274712.028
1609090000000 ,704.43,705.8,693,698.9,159527.712
1609090000000 ,699,699.73,687.7,698.56,117402.803
1609090000000 ,698.46,698.76,689.09,689.79,75746.541
1609090000000 ,689.77,695.01,689.09,691.47,46162.908
1609090000000 ,691.61,696.59,684,685.49,90526.229
1609090000000 ,685.57,691.63,685.57,691.52,44845.992
1609090000000 ,691.53,695.2,687.56,694.77,62899.131
1609090000000 ,694.71,696.09,692,694.16,29086.363
1609090000000 ,694.16,694.2,688.77,691.81,30484.453
1609090000000 ,691.76,696.99,691.65,694.81,28626.615
1609100000000 ,694.82,700.99,693.17,700.98,36485.066
1609100000000 ,700.97,704.41,698.01,698.54,61642.285
1609100000000 ,698.56,704.02,698.52,702.14,34207.502
1609100000000 ,702.14,708.84,702.1,706.71,62137.104
1609100000000 ,706.7,706.73,695.27,700.94,91560.869
1609100000000 ,700.98,701.3,692.16,698.96,48857.512
1609100000000 ,698.98,702.24,688.33,693.47,77179.077
1609100000000 ,693.58,693.63,674,674.17,195474.149
1609100000000 ,674.16,682.87,667.19,670.45,141115.26
1609100000000 ,670.39,675.99,660.51,670.61,177654.798
1609100000000 ,670.65,680.49,670.01,678.53,73692.297
1609110000000 ,678.52,682.74,675.62,679.3,54676.117
1609110000000 ,679.37,685.92,677.6,682.29,41041.544
1609110000000 ,682.29,685,678.13,681.11,28422.667
1609110000000 ,681.12,685.57,678.62,685.44,28803.922
1609110000000 ,685.44,689.07,683.25,688.04,33805.937
1609110000000 ,688.06,694.5,684.01,692.17,47760.822
1609110000000 ,692.17,696,688,695.37,44109.918
1609110000000 ,695.45,698.5,690.35,692,43685.969
1609110000000 ,692,693.7,682.92,685.97,65546.488
1609110000000 ,685.97,708.88,681.91,707.43,140586.671
1609110000000 ,707.31,717.48,703.03,714.37,147459.714
1609120000000 ,714.55,714.9,707.33,709.75,76377.281
1609120000000 ,709.95,712.61,705.88,709.5,52370.324
1609120000000 ,709.5,721,706.4,713.8,111494.002
1609120000000 ,713.8,715.41,708.3,711,61504.728
1609120000000 ,711.1,713.22,708.52,712.85,25030.71
1609120000000 ,712.84,712.99,702,707.75,64996.748
1609120000000 ,707.85,710.47,701.05,704.3,43334.322
1609120000000 ,704.23,707.63,701.25,704.85,34168.628
1609120000000 ,704.84,710.11,703.48,704.59,28819.987
1609120000000 ,704.58,709.28,702.9,707.16,27498.865
1609120000000 ,707.09,710.6,702.32,703.43,42354.952
1609130000000 ,703.42,704.89,697.02,701.86,59623.047
1609130000000 ,701.88,705.98,700.48,704.93,33542.752
1609130000000 ,704.89,706.61,701.01,704.71,22874.454
1609130000000 ,704.71,705.98,698.7,700.48,35358.054
1609130000000 ,700.48,704.8,700.01,703.52,25821.237
1609130000000 ,703.51,707.99,703.47,705.8,21988.74
1609130000000 ,705.76,710.99,703.8,705.45,50710.151
1609130000000 ,705.44,713.34,703.96,710.2,53124.323
1609130000000 ,710.21,711.32,707.5,708.2,27264.896
1609130000000 ,708.21,712.97,707,712.58,30730.253
1609130000000 ,712.62,715.27,710,714.83,45435.123
1609140000000 ,714.82,716.2,709.06,712.38,55379.694
1609140000000 ,712.33,712.33,707.3,709.88,33757.995
1609140000000 ,709.88,711.12,708,709.17,20427.399
1609140000000 ,709.21,715.44,709.01,713.96,31605.798
1609140000000 ,713.99,727.45,712.3,724.69,136415.837
1609140000000 ,724.7,734.47,720.29,732.89,130512.872
1609140000000 ,732.96,738.6,729.21,735.15,122070.295
1609140000000 ,735.14,739.9,731.16,733.79,91178.537
1609140000000 ,733.9,739.15,728,731.23,134073.694
1609140000000 ,731.28,735.4,725.3,734.12,97454.892
1609140000000 ,734.14,743.6,733.7,739.37,123462.106
1609150000000 ,739.45,742.2,734,740.89,72084.078
1609150000000 ,740.9,740.9,731.04,733.79,86465.608
1609150000000 ,733.8,741.64,732.71,739.34,55658.969
1609150000000 ,739.38,740.1,734.28,738.28,40572.175
1609150000000 ,738.19,738.37,732.2,734.19,39834.876
1609150000000 ,734.18,736.65,729.01,735.3,58841.678
1609150000000 ,735.28,736.15,730.71,731.7,32452.344
1609150000000 ,731.66,733.57,721.2,727.31,111528.398
1609150000000 ,727.29,731.53,726.1,728.25,57552.142
1609150000000 ,728.34,735.22,728.14,732.34,52660.987
1609150000000 ,732.34,732.9,730,730.72,31255.049
1609160000000 ,730.77,731.16,724,730.99,54524.915
1609160000000 ,731,734.79,730.7,733.16,33300.23
1609160000000 ,733.17,734.84,727.5,734.65,48716.148
1609160000000 ,734.65,736.88,729.37,731.49,47991.422
1609160000000 ,731.5,732.93,721.15,724.64,109656.625
1609160000000 ,724.71,727.7,722.73,726.32,36440.521
1609160000000 ,726.28,728.57,716.11,722.52,97189.323
1609160000000 ,722.58,728.25,720.64,726.79,49692.883
1609160000000 ,726.76,731.7,721.89,726.47,60215.608
1609160000000 ,726.47,729.07,725,728.01,35052.488
1609160000000 ,728.01,734.87,726.19,731.3,45583.799
1609160000000 ,731.71,733.99,728.45,731.26,40443.912
