symbol,exchange,datetime,open,high,low,close,volume,open_interest,strategy
ethusdt,BINANCE,2021-01-01 00:00:00,736.0,736.97,724.48,727.3,45192.35523,0.0,0
ethusdt,BINANCE,2021-01-01 01:00:00,727.26,743.0,726.59,737.2,41547.83481,0.0,0
ethusdt,BINANCE,2021-01-01 02:00:00,737.2,740.96,735.28,739.87,18794.08202,0.0,0
ethusdt,BINANCE,2021-01-01 03:00:00,739.88,742.0,737.36,738.83,14810.28022,0.0,0
ethusdt,BINANCE,2021-01-01 04:00:00,738.76,744.5,737.61,743.96,14700.26345,0.0,-1
ethusdt,BINANCE,2021-01-01 05:00:00,743.96,745.0,736.52,738.24,18490.32151,0.0,0
ethusdt,BINANCE,2021-01-01 06:00:00,738.23,742.5,735.88,740.48,11375.6051,0.0,1
ethusdt,BINANCE,2021-01-01 07:00:00,740.46,741.7,731.83,736.42,19450.08215,0.0,1
ethusdt,BINANCE,2021-01-01 08:00:00,736.42,739.0,729.33,734.07,27932.69884,0.0,1
ethusdt,BINANCE,2021-01-01 09:00:00,734.08,749.0,733.37,748.28,52336.18779,0.0,-1
ethusdt,BINANCE,2021-01-01 10:00:00,748.27,749.0,742.27,744.06,33019.501,0.0,-1
ethusdt,BINANCE,2021-01-01 11:00:00,744.06,747.23,743.1,744.82,17604.80859,0.0,-1
ethusdt,BINANCE,2021-01-01 12:00:00,744.87,747.09,739.3,742.29,18794.15424,0.0,-1
ethusdt,BINANCE,2021-01-01 13:00:00,742.34,743.23,739.5,740.65,14948.26447,0.0,1
ethusdt,BINANCE,2021-01-01 14:00:00,740.72,743.25,737.04,739.97,17106.99495,0.0,1
ethusdt,BINANCE,2021-01-01 15:00:00,739.87,740.51,734.4,737.38,21624.68945,0.0,1
ethusdt,BINANCE,2021-01-01 16:00:00,737.37,738.48,725.1,730.07,52992.04892,0.0,1
ethusdt,BINANCE,2021-01-01 17:00:00,730.07,734.77,728.77,733.68,22836.46973,0.0,1
ethusdt,BINANCE,2021-01-01 18:00:00,733.69,738.87,733.27,736.81,22895.59711,0.0,1
ethusdt,BINANCE,2021-01-01 19:00:00,736.82,741.76,736.11,738.85,29384.09871,0.0,1
ethusdt,BINANCE,2021-01-01 20:00:00,738.85,743.33,732.12,733.19,50190.47228,0.0,1
ethusdt,BINANCE,2021-01-01 21:00:00,733.19,741.99,733.0,740.08,23543.56362,0.0,1
